DATE,TIME,CLOSE,HIGH,LOW,OPEN,VOLUME
24/01/2017,12:39:00,9.589,9.589,9.589,9.589,64
24/01/2017,12:42:00,9.593,9.593,9.593,9.593,202
24/01/2017,12:43:00,9.59,9.59,9.59,9.59,7341
24/01/2017,12:46:00,9.594,9.594,9.59,9.59,7986
24/01/2017,12:49:00,9.596,9.596,9.596,9.596,97
24/01/2017,12:50:00,9.597,9.597,9.597,9.597,97
24/01/2017,12:52:00,9.595,9.596,9.595,9.596,640
24/01/2017,12:53:00,9.591,9.592,9.591,9.592,1268
24/01/2017,12:55:00,9.591,9.591,9.591,9.591,360
24/01/2017,12:57:00,9.59,9.59,9.59,9.59,148
24/01/2017,12:59:00,9.587,9.59,9.587,9.59,8666
24/01/2017,13:00:00,9.586,9.589,9.585,9.585,14489
24/01/2017,13:01:00,9.588,9.588,9.588,9.588,2000
24/01/2017,13:02:00,9.592,9.592,9.59,9.59,880
24/01/2017,13:03:00,9.589,9.589,9.589,9.589,2
24/01/2017,13:06:00,9.592,9.592,9.592,9.592,201
24/01/2017,13:07:00,9.59,9.59,9.59,9.59,74
24/01/2017,13:08:00,9.589,9.589,9.589,9.589,207
24/01/2017,13:09:00,9.588,9.588,9.588,9.588,2000
24/01/2017,13:10:00,9.587,9.587,9.587,9.587,2000
24/01/2017,13:12:00,9.586,9.586,9.586,9.586,202
24/01/2017,13:13:00,9.588,9.589,9.587,9.587,2279
24/01/2017,13:14:00,9.587,9.587,9.587,9.587,141
24/01/2017,13:15:00,9.587,9.587,9.587,9.587,2859
24/01/2017,13:16:00,9.589,9.589,9.589,9.589,907
24/01/2017,13:19:00,9.587,9.589,9.587,9.589,907
24/01/2017,13:20:00,9.586,9.59,9.585,9.59,11199
24/01/2017,13:21:00,9.586,9.586,9.586,9.586,1607
24/01/2017,13:22:00,9.586,9.586,9.586,9.586,673
24/01/2017,13:23:00,9.586,9.59,9.586,9.588,4771
24/01/2017,13:24:00,9.586,9.586,9.586,9.586,1361
24/01/2017,13:25:00,9.587,9.587,9.587,9.587,1110
24/01/2017,13:26:00,9.587,9.588,9.586,9.588,3093
24/01/2017,13:27:00,9.588,9.588,9.588,9.588,114
