Law Enforcement Agency,Number of Incident Reports,Incident Case Number,Date of Incident,Time of Incident,Sex,Race,Hispanic,Height,Weight,Age,Deployment Type I,Deployment Type II,Displays or Arc,Drive Stun Application,Activation After Probe Contact,Number of Deployments,Warning to Subject,Subject Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Officer Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Location Environment,Officer's Arrival,,Crime in Progress,Domestic Disturbance,Disturbance (Other),Traffic Stop,Emotionally Disturbed Person,Suspicious Person,Executing Warrant,Under Influence,Other,Non-aggressive,Previous Hostility,Possibly Intoxicated,Emotionally Disturbed,Aggressive (Verbal),Aggressive (Physical),Armed with,Other,Threat/ Hostile,Dead Weight/ Non Compliant,Fighting Stance/ Combative,Threaten Use of Weapon,Fleeing,Unarmed Assault,Armed with Firearm,Armed with Edged Weapon,Armed with Blunt Instrument,Armed with Other,Failed to Follow Directions,Suicidal,Other
Guilford,1,2015007012,13/08/2015,Unknown,Male,White,FALSE,"5'3""",200,65,C,,,,full 5 second cycle,1,FALSE,TRUE,,,,,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,Subject's Residence,Officer in Uniform,,,,,,TRUE,,,,suspect stabbing self with knife,,,,TRUE,,,knife,,,,,,,,,TRUE,,,,TRUE,
Guilford,1,2015007234,13/08/2015,12:49,Male,White,FALSE,"6'1""",180,58,C,,,,full 5 second cycle,1,FALSE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,,,,,,TRUE,,,,,,TRUE,,TRUE,,TRUE,metal cane,,TRUE,,TRUE,,,,,,TRUE,,,,
Hartford ,1,2015-25276,13/08/2015,01:55,Male,Black,FALSE,"5'10""",176,45,C,,,,"1, 5 sec.",1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,TRUE,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,,
Hamden,1,1500036798,13/08/2015,19:43,Male,White,FALSE,"5'11""",180,19,C,,,,18 sec,4,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,TRUE,,,,,TRUE,irrate,,,TRUE,,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,,,
Branford,2,15-18707,14/08/2015,19:21,Male,White,FALSE,"5'10""",200,42,C,L ,,,,U,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,,TRUE,TRUE,,,,TRUE,,,TRUE,TRUE,,TRUE,TRUE,,,TRUE,,,,TRUE,,,,,,TRUE,,
Trumbull,1,1500012877,14/08/2015,13:43,Male,White,FALSE,"6'2""",160,47,U,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Commercial Establishment,Officer in Uniform,,TRUE,,,,,,,,,,,,,,,possible knife,,,,,,,,,,,Possible knife,,,
Bridgeport,1,150816-173,16/08/2015,19:25,Male,White,FALSE,"5'6""",150,44,C,,,,"1, 5 sec",1,TRUE,TRUE,,,TRUE,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,,"assault, larceny, evading responsibility",,,,,TRUE,TRUE,,,,TRUE,,,TRUE,,,,,,,,
Hartford ,1,2015-25761,16/08/2015,20:44,Male,Black,FALSE,"5'9""",270,33,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,,,,,,,,TRUE,,,,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,,
Plymouth,1,15-7846,16/08/2015,15:00,Male,White,FALSE,"5'9""",140,32,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Marked Cruiser,,TRUE,,,,,,,TRUE,,,,TRUE,,TRUE,,,extremely sweaty and out-of-breath,TRUE,TRUE,TRUE,,,,,,,,,,
Derby,1,15-9049,16/08/2015,11:30,Male,Black,FALSE,"5'9""",180,30,C,,,,"1, 5 sec.",1,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,TRUE,,
Winchester,1,15-5268,16/08/2015,05:19,Male,White,FALSE,Unknown,Unknown,20,C,,,,,U,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,TRUE,,TRUE,,,,,,,,TRUE,,TRUE,,,TRUE,,TRUE,,,,,,,,,,
Branford,1,15-18853,17/08/2015,08:44,Male,White,FALSE,"5'11""",222,53,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Other Residence,Marked Cruiser,,TRUE,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,,
Westport,1,2015-014175,17/08/2015,16:30,Male,White,TRUE,"5'8""",180,45,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,,,,,,,TRUE,,,,,,,,,,,"non-compliant to verbal commands, advanced on officer",TRUE,,,,,,,,,,,,
Manchester,1,M201509278,17/08/2015,20:10,Male,White,FALSE,"6'0""",220,45,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,TRUE,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,TRUE,,,,,,,,,,
Hartford ,1,2015-25770,17/08/2015,02:18,Male,Black,FALSE,Unknown,Unknown,34,C,,,,"2, 10 sec. ",2,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,TRUE,,,TRUE,,,,,,TRUE,,
Bridgeport,1,150817-273,17/08/2015,22:05,Male,Black,FALSE,"6'0""",230,33,C,,,,"1, 5 sec",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,
CSP (State Police),1,1500487828,17/08/2015,14:47,Male,White,FALSE,Unknown,Unknown,28,C,,,,"6 sec, 5 sec",2,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,TRUE,,TRUE,,,,,,,,TRUE,,
Norwalk,1,15-37470,19/08/2015,15:40,Male,Black,FALSE,"5'10""",230,18,D,,,5 sec,,1,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,,,TRUE,,,loitering and trespassing,,,TRUE,,TRUE,TRUE,knife,,,,TRUE,,TRUE,,,TRUE,,,,,
Putnam,1,15-7687-OF,20/08/2015,12:59,Male,White,FALSE,"6'1""",275,74,C,,,,1 - 5 sec,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,,,,,TRUE,,knife,,TRUE,TRUE,,TRUE,,,,TRUE,,,TRUE,TRUE,
Hartford ,1,2015-26194,20/08/2015,12:07,Male,White,TRUE,"6'2""",220,32,C,,,,"3, 5 sec.",3,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,not initial officer on scene,,,,,,,,,Motor vehicle collision,,,,,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,,,
Bristol,2,15-39381,20/08/2015,19:22,Male,White,FALSE,"5'10""",170,36,D,D,,2,,2,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,,TRUE,,,TRUE,,,,,TRUE,Subject's Residence,Marked Cruiser,,,,TRUE,,,,,,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,,
Bridgeport,1,150821-282,21/08/2015,21:15,Male,White,TRUE,"5'10""",170,26,C,,,,"1, 5 sec",1,TRUE,TRUE,,,TRUE,,,,,,TRUE,,TRUE,TRUE,,,,,,Subject's Residence,Marked Cruiser,,TRUE,,,,,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,TRUE,,,,TRUE,,,,
Meriden,1,15-006914,21/08/2015,12:00,Male,White,FALSE,"6'2""",250,24,C,,,,5 seconds,1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,TRUE,"probation officer/home visit, found 7 year old alone",,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,advanced on probation officer
Waterbury,2,2015-46874a,21/08/2015,16:22,Male,White,TRUE,"5'9""",170,32,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,TRUE,,,,,TRUE,,,,TRUE,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,
Plymouth,1,15-8092,22/08/2015,01:18,Male,White,FALSE,"5'10""",215,59,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,"unknown if armed, emerged from camper"
East Hartford,1,15-22594,22/08/2015,00:14,Male,Black,FALSE,"5'9""",170,48,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,TRUE,,,,,,TRUE,,
Hartford ,1,2015-26484,22/08/2015,23:00,Male,White,FALSE,"5'8""",160,32,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,,,TRUE,,,,,,,,,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,,,
Naugatuck,1,15-22670,22/08/2015,09:15,Male,White,FALSE,"5'10""",180,26,C,,5 seconds,,,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,
Mashantucket,1,15-325-AR,22/08/2015,00:55,Male,White,FALSE,"6'0""",250,52,W,,5 seconds,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,TRUE,,TRUE,,,,,,,,,TRUE,,TRUE,TRUE,,,TRUE,,,TRUE,,,,,,,TRUE,,
West Hartford,1,15-44286,23/08/2015,15:20,Male,White,FALSE,Unknown,Unknown,64,C,,,,5 sec,1,FALSE,TRUE,,,,,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,TRUE,,,,TRUE,,,,sword,,,,,,,,,,,,,TRUE,
Shelton,1,15-12839,23/08/2015,17:19,Male,White,TRUE,"5'9""",170,49,D,,,,,U,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,
Canton,1,15-7121,23/08/2015,21:53,Male,White,FALSE,"5'11""",170,33,C,,,,"1, 5 sec",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,TRUE,,,,,TRUE,,,TRUE,TRUE,,TRUE,TRUE,rifle,,TRUE,,,TRUE,,,TRUE,,,,TRUE,,
CSP (State Police),1,1500499821,23/08/2015,02:29,Male,White,FALSE,"6'0""",230,42,C,,,,3 sec,1,TRUE,TRUE,,,,,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,,,
New Haven,1,15-39874,24/08/2015,13:40,Male,Black,FALSE,"5'8""",160,33,D,,,,,U,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,
Putnam,1,15-7850-AR,24/08/2015,20:30,Male,White,FALSE,"5'6""",130,33,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,TRUE,,,,TRUE,,,,,,,,,winged cork screw,,,,,,TRUE,,,,,winged cork screw,,,
Canton,1,15-7152,24/08/2015,15:34,Male,White,FALSE,"6'2""",190,32,C,,,,"4, 5, 6 sec each (20 sec total)",3,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,,TRUE,,TRUE,,,,,,,Indoors-Public Building,Marked Cruiser,,,TRUE,,,,,,TRUE,,,TRUE,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,,,,TRUE,,
Westport,2,2015-014643,24/08/2015,19:03,Male,White,FALSE,"5'8""",155,22,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,TRUE,,,,,,,,TRUE,,,,hiding with legs exposed,TRUE,TRUE,,,,,,,,,,,advancing on officers
Trumbull,1,1500013405,25/08/2015,12:52,Female,Black,FALSE,5',140,24,C,,,,,U,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Commercial Establishment,Officer in Uniform,,TRUE,,,,,,,,,,,,,,TRUE,,hands inside purse,,,,,TRUE,,,,,,TRUE,,struck officer with vehicle
Middletown,1,15-21746,27/08/2015,15:16,Male,White,FALSE,"6'0""",165,45,D,,,"1 deployment, 5 sec",,1,TRUE,TRUE,,TRUE,TRUE,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,,,TRUE,motor vehicle pursuit,,,TRUE,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,
Norwalk,1,15-39048,28/08/2015,22:55,Male,White,TRUE,"5'10""",140,21,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,
Hartford ,1,2015-27135,29/08/2015,01:00,Female,Black,FALSE,"6'3""",205,32,C,,,,"1, 5 sec. ",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,TRUE,TRUE,,,,,,TRUE,,,,TRUE,,TRUE,,,,TRUE,,TRUE,,,,,,,,TRUE,,
Suffield,1,15-89-AR/15-372-OF,29/08/2015,07:02,Male,White,FALSE,"5'10""",170,30,C,,,,"1, 5 seconds",1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,911 call - male party w/ knife,,,,TRUE,,,knife to his neck,,,,,,,,,TRUE,,,,TRUE,unstable emotional state
Vernon,1,1500012795,29/08/2015,23:21,Male,White,FALSE,"5'7""",150,27,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,TRUE,,,,TRUE,,TRUE,,,non-compliant with verbal commands,TRUE,,TRUE,,TRUE,,,,,,TRUE,,
Norwalk,1,15-39201,29/08/2015,19:28,Male,White,TRUE,"5'6""",130,18,C,,,,5 sec,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,TRUE,,,,,,,,,,,fleeing,,,,,TRUE,,,,,,,,
East Haven,1,15-24567,30/08/2015,17:28,Male,Black,FALSE,,,,C,,,,5 seconds,1,FALSE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Commercial Establishment,Marked Cruiser,,,,TRUE,,,,,,,TRUE,,,,,,,subject fled from officer,,,,,TRUE,,,,,,,,
Vernon,1,15-12901,31/08/2015,08:37,Male,White,FALSE,"5'8""",160,34,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,,,knife,,TRUE,,,,,,,TRUE,,,,,
Bristol,1,1500041572,31/08/2015,13:36,Female,White,TRUE,"5'4""",145,21,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,
Norwich,1,15-2193-AR,01/09/2015,20:30,Male,White,FALSE,"5'9""",180,52,C,D,,5 seconds,probes missed,1,FALSE,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,TRUE,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,,TRUE,,,,TRUE,,attempting to flee in vehicle,,,,,TRUE,,,,,,TRUE,,
Waterbury,1,15-49039,01/09/2015,12:36,Male,White,FALSE,"6'2""",175,37,L,,display only,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,,,,TRUE,,,,,,P/U for a party in possession of knife,,,,,,,knife,subject in possession of knife fighting,,,,,,,,TRUE,,,,,
Hartford ,1,2015-27504,01/09/2015,17:54,Male,Black,FALSE,"6'2""",250,35,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,,Marked Cruiser,not initial officer on scene,,TRUE,,,TRUE,,,TRUE,,,,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,
East Hampton,1,15-6807,02/09/2015,08:13,Male,White,FALSE,"5'10""",200,83,C,,,,1 @ 5 sec,1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,TRUE,,,,,,,,,TRUE,,,,TRUE,,TRUE,,,,,TRUE,,,,,
Middletown,1,15-22369,02/09/2015,20:30,Male,White,FALSE,"5'10""",170,33,D,,,"1, 1 second",,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,,,,,TRUE,,,TRUE,,,TRUE,TRUE,,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,,,,,,
CSP (State Police),1,1500523126,02/09/2015,14:49,Male,White,FALSE,"5'6""",180,31,C,,,,11 sec/5 sec,2,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,TRUE,,
West Hartford,1,1500046405,03/09/2015,13:29,Male,Black,FALSE,"6'2""",190,51,C,,1,,5 sec,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,TRUE,,,,TRUE,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,,,
Waterbury,1,2015-49485,03/09/2015,14:25,Male,Black,FALSE,"6'0""",200,35,C,,,,5 seconds,1,FALSE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,,,TRUE,,,,,,,,,TRUE,,TRUE,TRUE,heavy metal stanchion,,TRUE,,TRUE,,,,,,TRUE,heavy metal stanchion,,,
Manchester,1,M201510019,04/09/2015,04:12,Male,Black,FALSE,"6'0""",180,43,D,,,"2, 5 seconds",,2,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,TRUE,TRUE,,,,,,TRUE,,TRUE,,TRUE,,,,,,,TRUE,,,TRUE,,,,,,,,
Bridgeport,1,150904-096,04/09/2015,09:50,Male,Black,FALSE,"6'2""",230,33,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,TRUE,,TRUE,,,,,,,Indoors-Public Building,Officer in Uniform,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,,,,,,
Hartford ,1,2015-27954,04/09/2015,21:54,Male,White,TRUE,6',190,25,C,,,,"3, 15 sec.",3,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,,,TRUE,,,,TRUE,TRUE,,,,TRUE,,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,TRUE,,,,,TRUE,,
CSP (State Police),1,1500529293,05/09/2015,01:05,Male,Black,FALSE,Unknown,Unknown,Unknown,C,,,,probes missed,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,,,,,,,,,fleeing,,,,,TRUE,,,,,,,,
Naugatuck,1,15-24454,05/09/2015,23:54,Male,White,FALSE,"5'10""",185,38,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,,,,TRUE,,,TRUE,,TRUE,,,,TRUE,,TRUE,,,,TRUE,,TRUE,,TRUE,,,,,,,,
CSP (State Police),1,1500531615,05/09/2015,22:10,Male,White,TRUE,"5'11""",175,37,C,,,,5 sec,1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,,,,TRUE,,,TRUE,,,,,TRUE,,,,,TRUE,,
Norwalk,1,15-40474,05/09/2015,23:19,Male,White,TRUE,"5'5""",130,20,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,
East Hartford,2,15-24046,05/09/2015,21:03,Male,White,FALSE,"6'4""",200,60,C,C,,,5 seconds each,2,TRUE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,,,,TRUE,TRUE,
Branford,1,15-20564,06/09/2015,19:06,Male,White,FALSE,"5'8""",200,37,D,,,5 sec,,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,TRUE,,,,TRUE,,TRUE,,,,TRUE,,,,TRUE,,,,,,TRUE,,attempting to flee in boat
Norwalk,1,15-40440,06/09/2015,20:37,Male,Black,FALSE,"6'3""",220,20,C,,,,8 sec,1,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,TRUE,,TRUE,,,,,,,,,TRUE,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,
Manchester,1,M201510177,07/09/2015,20:42,Male,White,FALSE,"6'2""",290,40,C,,,,5 seconds,1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,TRUE,,,TRUE,,,,TRUE,,TRUE,,,domestic with girlfriend in front of police,,,TRUE,,,,,,,,TRUE,,
Meriden,1,15-07453,07/09/2015,08:45,Male,White,FALSE,"5'6""",175,31,D,,,"2 app, 5 sec",,2,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Private Property,Marked Cruiser,,,,TRUE,,,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,,,TRUE,,
Hamden,1,1500035890,07/09/2015,19:00,Male,White,TRUE,"5'10""",215,31,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,TRUE,Outdoors-Public Area,Marked Cruiser,,TRUE,,,TRUE,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,TRUE,,,,,,TRUE,,
Darien,1,2015-011256,08/09/2015,10:30,Male,Black,FALSE,"5'8""",180,31,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,
North Branford,1,15-6290,08/09/2015,01:52,Male,White,FALSE,"6'2""",180,26,D,,,"1, 5 sec.",,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,TRUE,,,TRUE,,,TRUE,,,,,,,,,,TRUE,,
Torrington,1,15-35709,09/09/2015,09:19,Male,White,FALSE,"5'11""",200,30,L,,appx 5 sec,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,TRUE,TRUE,,,,,,,,,,,,,TRUE,,,,,TRUE,,,TRUE,,,,,,,
New Britain,1,15-20361,09/09/2015,21:46,Male,Black,FALSE,"6'4""",240,23,D,,,3 seconds,,1,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,
Bridgeport,1,150909-156,09/09/2015,12:45,Male,White,TRUE,"5'11""",190,21,C,,,,missed,0,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Unmarked Vehicle,,,,,,,TRUE,,,"gang intel, suspect w/ firearm",,,,,,,firearm,,,,,,TRUE,,TRUE,,,,,,
West Haven,1,1500038355,11/09/2015,11:21,Male,White,TRUE,"5'8""",150,46,C,,,,5 sec,1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,foot pursuit,,,,,,,,foot pursuit/non-compliance,,,,,TRUE,,,,,,,,
New London,1,15-0002994,12/09/2015,18:58,Male,White,FALSE,"6'0""",370,38,D,,,1/3 seconds,,1,TRUE,FALSE,TRUE,,,,,,,,TRUE,,TRUE,TRUE,,,,,TRUE,Subject's Residence,Marked Cruiser,,,,TRUE,,,,,,,,TRUE,,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,resisting arrest
Waterford,1,2015-01905,12/09/2015,00:30,Male,Black,FALSE,"5'8""",180,33,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Commercial Establishment,Marked Cruiser,,TRUE,,,,TRUE,,,,,,,,,,,,"2 male subjects, actively fighting",,,,,,TRUE,,,,,,,
Glastonbury,1,15-012185,15/09/2015,16:58,Male,White,FALSE,"5'6""",145,23,L,,,,,0,TRUE,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,Outdoors-Private Property,Marked Cruiser,,,,TRUE,,,,,,,,TRUE,,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,furtive movement into pockets
